date,adj close,close,high,low,open,volume,symbol
2026-02-06,185.1841278076172,185.41000366210938,187.0,174.60000610351562,176.69000244140625,231346200,NVDA
2026-02-09,189.80848693847656,190.0399932861328,193.66000366210938,183.9499969482422,184.25999450683594,196387400,NVDA
2026-02-10,188.31031799316406,188.5399932861328,192.47999572753906,188.1199951171875,191.3800048828125,136764800,NVDA
2026-02-11,189.8184814453125,190.0500030517578,193.25999450683594,188.77000427246094,192.4499969482422,144192700,NVDA
2026-02-12,186.7122802734375,186.94000244140625,193.61000061035156,186.50999450683594,193.02999877929688,189932500,NVDA
2026-02-13,182.58731079101562,182.80999755859375,187.5,181.58999633789062,187.47999572753906,161888000,NVDA
2026-02-17,184.7446746826172,184.97000122070312,187.14999389648438,179.17999267578125,181.75,162276900,NVDA
2026-02-18,187.75099182128906,187.97999572753906,190.3699951171875,186.75999450683594,188.75,164749100,NVDA
2026-02-19,187.6710968017578,187.89999389648438,188.42999267578125,185.66000366210938,187.05999755859375,126554500,NVDA
2026-02-20,189.58877563476562,189.82000732421875,190.3300018310547,185.94000244140625,186.57000732421875,178422300,NVDA
2026-02-23,191.31666564941406,191.5500030517578,193.9499969482422,189.5800018310547,191.39999389648438,171584800,NVDA
2026-02-24,192.61508178710938,192.85000610351562,193.77000427246094,187.39999389648438,191.49000549316406,175123600,NVDA
2026-02-25,195.32176208496094,195.55999755859375,197.6300048828125,193.7899932861328,194.4499969482422,250637100,NVDA
2026-02-26,184.66476440429688,184.88999938964844,194.2899932861328,184.32000732421875,194.27000427246094,360807900,NVDA
2026-02-27,176.97415161132812,177.19000244140625,182.58999633789062,176.3800048828125,181.25,311636500,NVDA
2026-03-02,182.25770568847656,182.47999572753906,183.4600067138672,174.63999938964844,175.00999450683594,209095300,NVDA
2026-03-03,179.83065795898438,180.0500030517578,180.89999389648438,176.9199981689453,178.49000549316406,178099400,NVDA
2026-03-04,182.8170166015625,183.0399932861328,184.6999969482422,180.05999755859375,180.44000244140625,177731200,NVDA
2026-03-05,183.1166534423828,183.33999633789062,184.05999755859375,177.8800048828125,181.1699981689453,198779700,NVDA
2026-03-06,177.60337829589844,177.82000732421875,182.75999450683594,176.82000732421875,179.83999633789062,189021900,NVDA
2026-03-09,182.427490234375,182.64999389648438,182.91000366210938,175.55999755859375,176.8300018310547,177213600,NVDA
